"","Family","RedList","BodySize","HabitatType","HPD","ExtinctRisk","Habitat","log_BodySize","sqrt_BodySize"
"92","CAMBARIDAE","1",40,1,32.02770781,"Least Concern","Streams/River",3.68887945411394,6.32455532033676
"93","CAMBARIDAE","5",17.2,2,102.1262136,"Critical","Lakes/Wetland",2.84490938381941,4.14728827066554
"94","CAMBARIDAE","5",45.2,2,254.0645161,"Critical","Lakes/Wetland",3.81109708683819,6.72309452558864
"95","CAMBARIDAE","1",19,2,44.67782427,"Least Concern","Lakes/Wetland",2.94443897916644,4.35889894354067
"96","CAMBARIDAE","1",36.8,4,38.3465571,"Least Concern","Caves",3.60549784517489,6.06630035524124
"97","CAMBARIDAE","1",41,2,24.61899038,"Least Concern","Lakes/Wetland",3.71357206670431,6.40312423743285
"98","CAMBARIDAE","1",25.5,2,21.69067797,"Least Concern","Lakes/Wetland",3.23867845216438,5.04975246918104
"99","CAMBARIDAE","1",46.1,3,49.42189706,"Least Concern","Burrows",3.8308129500026,6.78969807870718
"100","PARASTACIDAE","3",30,3,37.24242424,"Vulnerable","Burrows",3.40119738166216,5.47722557505166
"101","PARASTACIDAE","2",39,2,153.4771127,"Near Threatened","Lakes/Wetland",3.66356164612965,6.2449979983984
"102","PARASTACIDAE","1",40,1,4.112012987,"Least Concern","Streams/River",3.68887945411394,6.32455532033676
"103","CAMBARIDAE","5",26.2,4,29.97735849,"Critical","Caves",3.26575941076705,5.11859355682789
"104","CAMBARIDAE","1",15,2,111.1944253,"Least Concern","Lakes/Wetland",2.70805020110221,3.87298334620742
"105","CAMBARIDAE","1",39.9,3,48.92286926,"Least Concern","Burrows",3.68637632389582,6.3166446789415
"106","CAMBARIDAE","2",44.7,1,17.21772754,"Near Threatened","Streams/River",3.79997350161952,6.68580586017871
"107","CAMBARIDAE","1",20,2,28.76783831,"Least Concern","Lakes/Wetland",2.99573227355399,4.47213595499958
"108","CAMBARIDAE","1",40.6,1,51.13600317,"Least Concern","Streams/River",3.70376806660769,6.3718129288296
"109","PARASTACIDAE","4",38.5,1,17.72641509,"Endangered","Streams/River",3.65065824129374,6.20483682299543
"110","CAMBARIDAE","1",38.3,2,73.8902183,"Least Concern","Lakes/Wetland",3.6454498961866,6.18869937870632
"111","CAMBARIDAE","1",25.5,1,44.84699521,"Least Concern","Streams/River",3.23867845216438,5.04975246918104
"112","PARASTACIDAE","5",32.7,3,2,"Critical","Burrows",3.48737507790321,5.71839138219832
"113","CAMBARIDAE","2",31.3,1,60.1890411,"Near Threatened","Streams/River",3.44361809754611,5.59464029227975
"114","CAMBARIDAE","4",21,4,61.19384449,"Endangered","Caves",3.04452243772342,4.58257569495584
"115","PARASTACIDAE","3",69,1,3.324093817,"Vulnerable","Streams/River",4.23410650459726,8.30662386291807
"116","CAMBARIDAE","1",38.1,3,26.84016393,"Least Concern","Burrows",3.64021428213266,6.17251974480439
"117","CAMBARIDAE","1",28.6,1,74.64235319,"Least Concern","Streams/River",3.35340671782581,5.34789678284837
"118","CAMBARIDAE","1",23.7,2,65.0258125,"Least Concern","Lakes/Wetland",3.16547504814109,4.86826457785523
"119","CAMBARIDAE","1",22,3,34.19585036,"Least Concern","Burrows",3.09104245335832,4.69041575982343
"120","PARASTACIDAE","4",66.7,1,0.985111663,"Endangered","Streams/River",4.20020495292158,8.16700679563817
"121","PARASTACIDAE","4",40,1,3.155279503,"Endangered","Streams/River",3.68887945411394,6.32455532033676
"122","CAMBARIDAE","1",15,2,49.67579909,"Least Concern","Lakes/Wetland",2.70805020110221,3.87298334620742
"123","CAMBARIDAE","1",64.2,3,79.75702364,"Least Concern","Burrows",4.16200321069592,8.01249024960405
"124","CAMBARIDAE","1",31.2,2,16.223204,"Least Concern","Lakes/Wetland",3.44041809481544,5.58569601750758
"125","PARASTACIDAE","1",142.4,1,70.72536387,"Least Concern","Streams/River",4.95863999897788,11.933147112141
"126","PARASTACIDAE","1",58.2,1,6.174532502,"Least Concern","Streams/River",4.06388535473739,7.62889244910426
"127","CAMBARIDAE","1",36,1,17.84928111,"Least Concern","Streams/River",3.58351893845611,6
"128","PARASTACIDAE","4",66,2,39.19298246,"Endangered","Lakes/Wetland",4.18965474202643,8.12403840463596
